activity	time	p	p_peak	p_smooth
4	1457	4347826.0869565215	0.43478260869565216	0.4202898550724637
5	1457	2857142.857142857	0.2857142857142857	0.2857142857142857
1	1458	4761904.761904761	0.4761904761904761	0.5714285714285715
2	1458	8333333.333333334	0.8333333333333334	0.7037037037037037
3	1458	5357142.857142857	0.5357142857142857	0.7380952380952381
4	1458	5217391.304347826	0.5217391304347826	0.463768115942029
5	1458	2857142.857142857	0.2857142857142857	0.3333333333333333
1	1459	5238095.238095239	0.5238095238095238	0.42857142857142855
2	1459	7777777.777777778	0.7777777777777778	0.7592592592592592
3	1459	10000000	1	0.7261904761904762
4	1459	4347826.0869565215	0.43478260869565216	0.463768115942029
5	1459	4285714.285714285	0.42857142857142855	0.5238095238095237
1	1460	2857142.857142857	0.2857142857142857	0.3650793650793651
2	1460	6666666.666666666	0.6666666666666666	0.5555555555555555
3	1460	6428571.428571429	0.6428571428571429	0.75
4	1460	4347826.0869565215	0.43478260869565216	0.5217391304347826
5	1460	8571428.57142857	0.8571428571428571	0.6666666666666666
1	1461	2857142.857142857	0.2857142857142857	0.5238095238095238
2	1461	2222222.222222222	0.2222222222222222	0.6296296296296297
3	1461	6071428.571428571	0.6071428571428571	0.6904761904761904
4	1461	6956521.739130435	0.6956521739130435	0.6376811594202899
5	1461	7142857.142857143	0.7142857142857143	0.7619047619047619
1	1462	10000000	1	0.6825396825396824
2	1462	10000000	1	0.7037037037037037
3	1462	8214285.714285714	0.8214285714285714	0.6904761904761904
4	1462	7826086.956521739	0.782608695652174	0.8260869565217391
5	1462	7142857.142857143	0.7142857142857143	0.6666666666666666
1	1463	7619047.6190476185	0.7619047619047619	0.7619047619047619
2	1463	8888888.888888888	0.8888888888888888	0.8888888888888888
3	1463	6428571.428571429	0.6428571428571429	0.6428571428571429
4	1463	10000000	1	1
5	1463	5714285.714285714	0.5714285714285714	0.5714285714285714
1	1440	6190476.19047619	0.6190476190476191	0.6190476190476191
2	1440	7777777.777777778	0.7777777777777778	0.7777777777777778
3	1440	7142857.142857143	0.7142857142857143	0.7142857142857143
4	1440	4782608.695652174	0.4782608695652174	0.4782608695652174
5	1440	5714285.714285714	0.5714285714285714	0.5714285714285714
